Year,Series,Adina,Sexua,Kontratu mota,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Aduna,PT,Aduna,67.3
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Aduna,PT,Aduna,67.0
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Aduna,PT,Aduna,65.3
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Aduna,PT,Aduna,65.0
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Aduna,PT,Aduna,62.5
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Aduna,PT,Aduna,62.9
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Aduna,PT,Aduna,65.7
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Aduna,PT,Aduna,61.4
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Aduna,PT,Aduna,65.4
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Agurain / Salvatierra,PT,Agurain / Salvatierra,53.0
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Agurain / Salvatierra,PT,Agurain / Salvatierra,52.8
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Agurain / Salvatierra,PT,Agurain / Salvatierra,53.6
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Agurain / Salvatierra,PT,Agurain / Salvatierra,54.8
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Agurain / Salvatierra,PT,Agurain / Salvatierra,53.2
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Agurain / Salvatierra,PT,Agurain / Salvatierra,55.4
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Agurain / Salvatierra,PT,Agurain / Salvatierra,53.3
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Agurain / Salvatierra,PT,Agurain / Salvatierra,55.8
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Agurain / Salvatierra,PT,Agurain / Salvatierra,52.7
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Aia,PT,Aia,56.3
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Aia,PT,Aia,56.2
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Aia,PT,Aia,60.5
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Aia,PT,Aia,62.1
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Aia,PT,Aia,61.3
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Aia,PT,Aia,57.1
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Aia,PT,Aia,60.3
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Aia,PT,Aia,58.1
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Aia,PT,Aia,60.1
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Aizarnazabal,PT,Aizarnazabal,57.6
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Aizarnazabal,PT,Aizarnazabal,53.8
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Aizarnazabal,PT,Aizarnazabal,56.6
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Aizarnazabal,PT,Aizarnazabal,54.0
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Aizarnazabal,PT,Aizarnazabal,55.7
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Aizarnazabal,PT,Aizarnazabal,57.5
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Aizarnazabal,PT,Aizarnazabal,56.2
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Aizarnazabal,PT,Aizarnazabal,55.1
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Aizarnazabal,PT,Aizarnazabal,53.6
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48911,PT,ES48911,54.8
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48911,PT,ES48911,56.5
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48911,PT,ES48911,58.7
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48911,PT,ES48911,52.7
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48911,PT,ES48911,56.8
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48911,PT,ES48911,56.7
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48911,PT,ES48911,55.7
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48911,PT,ES48911,57.7
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48911,PT,ES48911,54.5
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Albiztur,PT,Albiztur,62.1
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Albiztur,PT,Albiztur,59.1
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Albiztur,PT,Albiztur,59.7
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Albiztur,PT,Albiztur,57.9
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Albiztur,PT,Albiztur,60.5
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Albiztur,PT,Albiztur,56.6
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Albiztur,PT,Albiztur,53.2
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Albiztur,PT,Albiztur,62.4
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Albiztur,PT,Albiztur,57.1
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Alegia,PT,Alegia,51.1
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Alegia,PT,Alegia,52.4
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Alegia,PT,Alegia,53.2
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Alegia,PT,Alegia,53.0
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Alegia,PT,Alegia,49.2
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Alegia,PT,Alegia,53.6
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Alegia,PT,Alegia,51.3
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Alegia,PT,Alegia,51.0
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Alegia,PT,Alegia,48.2
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,62.4
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,61.7
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,59.4
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,62.0
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,63.2
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,61.8
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,66.2
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,64.0
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,61.4
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Alkiza,PT,Alkiza,63.3
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Alkiza,PT,Alkiza,61.4
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Alkiza,PT,Alkiza,61.0
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Alkiza,PT,Alkiza,60.8
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Alkiza,PT,Alkiza,63.5
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Alkiza,PT,Alkiza,60.4
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Alkiza,PT,Alkiza,55.7
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Alkiza,PT,Alkiza,62.0
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Alkiza,PT,Alkiza,58.5
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48912,PT,ES48912,50.8
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48912,PT,ES48912,50.7
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48912,PT,ES48912,48.1
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48912,PT,ES48912,46.0
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48912,PT,ES48912,49.2
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48912,PT,ES48912,45.8
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48912,PT,ES48912,48.7
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48912,PT,ES48912,49.2
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48912,PT,ES48912,49.9
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,ES20906,PT,ES20906,57.9
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,ES20906,PT,ES20906,50.7
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,ES20906,PT,ES20906,53.6
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,ES20906,PT,ES20906,55.1
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,ES20906,PT,ES20906,50.8
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,ES20906,PT,ES20906,50.0
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,ES20906,PT,ES20906,52.6
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,ES20906,PT,ES20906,67.2
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,ES20906,PT,ES20906,53.9
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Altzo,PT,Altzo,55.1
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Altzo,PT,Altzo,61.6
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Altzo,PT,Altzo,55.6
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Altzo,PT,Altzo,62.5
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Altzo,PT,Altzo,57.6
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Altzo,PT,Altzo,57.4
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Altzo,PT,Altzo,55.4
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Altzo,PT,Altzo,54.7
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Altzo,PT,Altzo,57.4
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Amezketa,PT,Amezketa,53.4
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Amezketa,PT,Amezketa,54.1
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Amezketa,PT,Amezketa,50.9
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Amezketa,PT,Amezketa,53.4
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Amezketa,PT,Amezketa,54.3
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Amezketa,PT,Amezketa,52.5
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Amezketa,PT,Amezketa,56.3
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Amezketa,PT,Amezketa,52.5
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Amezketa,PT,Amezketa,53.2
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48003,PT,ES48003,54.4
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48003,PT,ES48003,53.4
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48003,PT,ES48003,54.1
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48003,PT,ES48003,52.4
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48003,PT,ES48003,54.6
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48003,PT,ES48003,52.8
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48003,PT,ES48003,56.6
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48003,PT,ES48003,52.1
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48003,PT,ES48003,55.4
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48004,PT,ES48004,50.9
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48004,PT,ES48004,49.3
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48004,PT,ES48004,53.3
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48004,PT,ES48004,52.3
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48004,PT,ES48004,51.0
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48004,PT,ES48004,52.2
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48004,PT,ES48004,52.5
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48004,PT,ES48004,49.6
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48004,PT,ES48004,49.7
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Amurrio,PT,Amurrio,50.6
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Amurrio,PT,Amurrio,51.1
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Amurrio,PT,Amurrio,49.5
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Amurrio,PT,Amurrio,52.4
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Amurrio,PT,Amurrio,50.7
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Amurrio,PT,Amurrio,49.1
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Amurrio,PT,Amurrio,51.5
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Amurrio,PT,Amurrio,51.0
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Amurrio,PT,Amurrio,52.3
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Andoain,PT,Andoain,51.3
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Andoain,PT,Andoain,52.2
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Andoain,PT,Andoain,53.0
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Andoain,PT,Andoain,51.1
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Andoain,PT,Andoain,51.9
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Andoain,PT,Andoain,49.6
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Andoain,PT,Andoain,52.4
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Andoain,PT,Andoain,52.1
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Andoain,PT,Andoain,50.1
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Anoeta,PT,Anoeta,57.0
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Anoeta,PT,Anoeta,58.3
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Anoeta,PT,Anoeta,54.2
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Anoeta,PT,Anoeta,55.3
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Anoeta,PT,Anoeta,54.6
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Anoeta,PT,Anoeta,56.6
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Anoeta,PT,Anoeta,57.8
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Anoeta,PT,Anoeta,58.0
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Anoeta,PT,Anoeta,57.7
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Antzuola,PT,Antzuola,55.9
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Antzuola,PT,Antzuola,57.1
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Antzuola,PT,Antzuola,57.1
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Antzuola,PT,Antzuola,57.6
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Antzuola,PT,Antzuola,55.7
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Antzuola,PT,Antzuola,56.2
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Antzuola,PT,Antzuola,55.4
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Antzuola,PT,Antzuola,58.4
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Antzuola,PT,Antzuola,57.2
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Añana,PT,Añana,53.3
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Añana,PT,Añana,49.7
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Añana,PT,Añana,53.3
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Añana,PT,Añana,54.3
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Añana,PT,Añana,54.0
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Añana,PT,Añana,55.7
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Añana,PT,Añana,53.7
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Añana,PT,Añana,43.7
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Añana,PT,Añana,46.3
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48005,PT,ES48005,62.2
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48005,PT,ES48005,62.4
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48005,PT,ES48005,63.1
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48005,PT,ES48005,59.0
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48005,PT,ES48005,58.0
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48005,PT,ES48005,58.4
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48005,PT,ES48005,54.0
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48005,PT,ES48005,60.2
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48005,PT,ES48005,64.2
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Arama,PT,Arama,52.7
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Arama,PT,Arama,55.6
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Arama,PT,Arama,55.0
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Arama,PT,Arama,58.4
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Arama,PT,Arama,56.7
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Arama,PT,Arama,54.1
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Arama,PT,Arama,57.5
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Arama,PT,Arama,53.5
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Arama,PT,Arama,53.3
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Aramaio,PT,Aramaio,55.3
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Aramaio,PT,Aramaio,53.8
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Aramaio,PT,Aramaio,52.9
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Aramaio,PT,Aramaio,55.9
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Aramaio,PT,Aramaio,52.9
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Aramaio,PT,Aramaio,54.8
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Aramaio,PT,Aramaio,53.1
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Aramaio,PT,Aramaio,51.5
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Aramaio,PT,Aramaio,53.6
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48006,PT,ES48006,52.7
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48006,PT,ES48006,54.1
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48006,PT,ES48006,53.5
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48006,PT,ES48006,53.3
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48006,PT,ES48006,54.2
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48006,PT,ES48006,51.1
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48006,PT,ES48006,54.3
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48006,PT,ES48006,55.1
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48006,PT,ES48006,53.4
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48093,PT,ES48093,51.0
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48093,PT,ES48093,51.4
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48093,PT,ES48093,55.8
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48093,PT,ES48093,51.8
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48093,PT,ES48093,51.7
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48093,PT,ES48093,53.5
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48093,PT,ES48093,54.0
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48093,PT,ES48093,54.1
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,ES48093,PT,ES48093,56.0
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Aretxabaleta,PT,Aretxabaleta,53.1
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Aretxabaleta,PT,Aretxabaleta,52.6
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Aretxabaleta,PT,Aretxabaleta,54.6
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Aretxabaleta,PT,Aretxabaleta,55.2
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Aretxabaleta,PT,Aretxabaleta,53.2
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Aretxabaleta,PT,Aretxabaleta,54.2
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Aretxabaleta,PT,Aretxabaleta,54.2
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Aretxabaleta,PT,Aretxabaleta,54.4
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Aretxabaleta,PT,Aretxabaleta,55.3
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Armiñón,PT,Armiñón,62.3
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Armiñón,PT,Armiñón,63.4
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Armiñón,PT,Armiñón,58.9
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Armiñón,PT,Armiñón,53.2
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Armiñón,PT,Armiñón,64.2
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Armiñón,PT,Armiñón,62.9
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Armiñón,PT,Armiñón,61.5
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Armiñón,PT,Armiñón,59.7
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Armiñón,PT,Armiñón,61.6
2022,EU_EMP_LFS,16 urte eta gehiago,,,,,Arraia-Maeztu,PT,Arraia-Maeztu,58.6
2019,EU_EMP_LFS,16 urte eta gehiago,,,,,Arraia-Maeztu,PT,Arraia-Maeztu,57.0
2018,EU_EMP_LFS,16 urte eta gehiago,,,,,Arraia-Maeztu,PT,Arraia-Maeztu,56.1
2023,EU_EMP_LFS,16 urte eta gehiago,,,,,Arraia-Maeztu,PT,Arraia-Maeztu,58.1
2010,EU_EMP_LFS,16 urte eta gehiago,,,,,Arraia-Maeztu,PT,Arraia-Maeztu,55.3
2021,EU_EMP_LFS,16 urte eta gehiago,,,,,Arraia-Maeztu,PT,Arraia-Maeztu,55.7
2016,EU_EMP_LFS,16 urte eta gehiago,,,,,Arraia-Maeztu,PT,Arraia-Maeztu,54.5
2015,EU_EMP_LFS,16 urte eta gehiago,,,,,Arraia-Maeztu,PT,Arraia-Maeztu,53.7
2020,EU_EMP_LFS,16 urte eta gehiago,,,,,Arraia-Maeztu,PT,Arraia-Maeztu,58.2
